Name: “Table 1 of 1 on page 9 of 17”,Name: “Table 1 of 1 on page 9 of 17”,Name: “Table 1 of 1 on page 9 of 17”,Name: “Table 1 of 1 on page 9 of 17”,Name: “Table 1 of 1 on page 9 of 17”,Name: “Table 1 of 1 on page 9 of 17”,Name: “Table 1 of 1 on page 9 of 17”,Name: “Table 1 of 1 on page 9 of 17”,Name: “Table 1 of 1 on page 9 of 17”,Name: “Table 1 of 1 on page 9 of 17”
Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9
,,,,,,,,,
,DRIVER FATALITIES BY STATE AND BAC LEVEL,DRIVER FATALITIES BY STATE AND BAC LEVEL,DRIVER FATALITIES BY STATE AND BAC LEVEL,DRIVER FATALITIES BY STATE AND BAC LEVEL,DRIVER FATALITIES BY STATE AND BAC LEVEL,DRIVER FATALITIES BY STATE AND BAC LEVEL,,,
,,,,1982,,,,,
,,WITH KNOWN,WITH KNOWN,WITH UNKNOWN,WITH UNKNOWN,NOT,,UNKNOWN,
,,RESULTS,,RESULTS,,TESTED,,IF TESTED,
STATE,TOTAL,#,%,#,%,#,%,#,%
ALABAMA,510,89,17.5,202,39.6,215,42.2,4,0.8
ALASKA,63,27,42.9,2,3.2,28,44.4,6,9.5
ARIZONA,353,187,53.0,49,13.9,78,22.1,39,11.0
ARKANSAS,324,37,11.4,1,0.3,228,70.4,58,17.9
CALIFORNIA,"2,604","2,279",87.5,2,0.1,321,12.3,2,0.1
COLORADO,369,314,85.1,6,1.6,49,13.3,0,0.0
CONNECTICUT,311,212,68.2,19,6.1,80,25.7,0,0.0
DELAWARE,75,69,92.0,0,0.0,6,8.0,0,0.0
DIST OF COLUMBIA,16,14,87.5,0,0.0,1,6.3,1,6.3
FLORIDA,"1,304",423,32.4,208,16.0,662,50.8,11,0.8
GEORGIA,734,467,63.6,34,4.6,233,31.7,0,0.0
HAWAII,87,79,90.8,0,0.0,8,9.2,0,0.0
IDAHO,131,29,22.1,18,13.7,68,51.9,16,12.2
ILLINOIS,901,639,70.9,66,7.3,172,19.1,24,2.7
INDIANA,599,285,47.6,102,17.0,185,30.9,27,4.5
IOWA,317,133,42.0,56,17.7,117,36.9,11,3.5
KANSAS,315,59,18.7,29,9.2,209,66.3,18,5.7
KENTUCKY,502,365,72.7,23,4.6,113,22.5,1,0.2
LOUISIANA,591,128,21.7,249,42.1,209,35.4,5,0.8
MAINE,99,50,50.5,5,5.1,43,43.4,1,1.0
MARYLAND,350,291,83.1,1,0.3,58,16.6,0,0.0
MASSACHUSETTS,370,44,11.9,239,64.6,19,5.1,68,18.4
MICHIGAN,778,472,60.7,32,4.1,270,34.7,4,0.5
MINNESOTA,319,250,78.4,11,3.4,38,11.9,20,6.3
MISSISSIPPI,437,38,8.7,12,2.7,58,13.3,329,75.3
MISSOURI,534,144,27.0,12,2.2,153,28.7,225,42.1
MONTANA,148,79,53.4,0,0.0,34,23.0,35,23.6
NEBRASKA,161,89,55.3,13,8.1,33,20.5,26,16.1
NEVADA,165,149,90.3,0,0.0,16,9.7,0,0.0
NEW HAMPSHIRE,107,51,47.7,9,8.4,47,43.9,0,0.0
NEW JERSEY,524,453,86.5,3,0.6,68,13.0,0,0.0
NEW MEXICO,305,253,83.0,21,6.9,27,8.9,4,1.3
NEW YORK,994,618,62.2,8,0.8,111,11.2,257,25.9
NORTH CAROLINA,726,327,45.0,112,15.4,284,39.1,3,0.4
NORTH DAKOTA,105,4,3.8,32,30.5,62,59.0,7,6.7
OHIO,899,390,43.4,128,14.2,277,30.8,104,11.6
OKLAHOMA,652,467,71.6,0,0.0,185,28.4,0,0.0
OREGON,293,269,91.8,2,0.7,22,7.5,0,0.0
PENNSYLVANIA,"1,061",734,69.2,80,7.5,247,23.3,0,0.0
RHODE ISLAND,53,50,94.3,0,0.0,2,3.8,1,1.9
SOUTH CAROLINA,413,205,49.6,54,13.1,151,36.6,3,0.7
SOUTH DAKOTA,85,61,71.8,0,0.0,24,28.2,0,0.0
TENNESSEE,646,466,72.1,2,0.3,177,27.4,1,0.2
TEXAS,"2,378",42,1.8,669,28.1,"1,667",70.1,0,0.0
UTAH,157,126,80.3,7,4.5,23,14.6,1,0.6
VERMONT,59,51,86.4,1,1.7,5,8.5,2,3.4
VIRGINIA,489,358,73.2,99,20.2,31,6.3,1,0.2
WASHINGTON,441,358,81.2,14,3.2,1,0.2,68,15.4
WEST VIRGINIA,260,195,75.0,6,2.3,58,22.3,1,0.4
WISCONSIN,459,390,85.0,6,1.3,58,12.6,5,1.1
WYOMING,117,87,74.4,10,8.5,20,17.1,0,0.0
TOTAL USA,"24,690","13,396",54.3,"2,654",10.7,"7,251",29.4,"1,389",5.6
PUERTO RICO,162,94,58.0,0,0.0,67,41.4,1,0.6
